Ticks,Fishes,Sharks
1,90,20
2,161,20
3,228,17
4,353,15
5,505,22
6,655,23
7,765,22
8,813,22
9,846,25
10,857,27
11,864,28
12,863,28
13,861,29
14,855,30
15,855,31
16,855,32
17,856,32
18,851,33
19,853,33
20,849,37
21,848,38
22,848,37
23,839,37
24,838,41
25,832,43
26,835,46
27,833,46
28,825,49
29,820,53
30,817,57
31,811,56
32,803,58
33,806,62
34,793,66
35,793,68
36,793,74
37,786,72
38,766,79
39,749,87
40,741,90
41,727,96
42,722,103
43,728,102
44,716,100
45,696,106
46,687,111
47,679,119
48,662,121
49,658,119
50,647,126
51,635,129
52,612,134
53,598,138
54,581,156
55,553,175
56,521,180
57,495,183
58,475,188
59,450,193
60,414,178
61,380,182
62,362,183
63,349,178
64,341,172
65,328,156
66,327,156
67,311,147
68,301,144
69,294,141
70,299,139
71,298,136
72,297,140
73,296,136
74,305,140
75,300,144
76,300,149
77,300,159
78,303,157
79,306,151
80,309,157
81,301,158
82,304,167
83,302,162
84,293,161
85,278,166
86,256,170
87,248,171
88,236,165
89,218,161
90,200,153
91,186,139
92,171,123
93,168,118
94,157,115
95,155,102
96,139,91
97,140,82
98,140,75
99,144,79
100,147,75
101,146,75
102,137,72
103,147,74
104,154,78
105,168,78
106,194,73
107,228,67
108,255,64
109,303,66
110,356,67
111,416,60
112,476,61
113,531,54
114,566,56
115,603,60
116,644,64
117,666,68
118,684,72
119,697,76
120,713,82
121,724,84
122,724,86
123,717,86
124,709,89
125,706,96
126,686,100
127,671,107
128,654,106
129,641,103
130,624,110
131,603,120
132,592,117
133,583,115
134,580,112
135,572,112
136,554,122
137,547,122
138,539,127
139,525,113
140,522,112
141,513,114
142,493,109
143,491,113
144,489,115
145,483,103
146,480,98
147,471,99
148,473,103
149,472,99
150,471,98
151,464,99
152,454,104
153,434,103
154,442,102
155,439,110
156,436,105
157,427,110
158,426,106
159,436,101
160,433,106
161,429,110
162,428,110
163,435,113
164,432,119
165,417,124
166,403,132
167,395,132
168,388,128
169,363,132
170,337,132
171,315,141
172,303,140
173,301,128
174,297,119
175,282,117
176,289,108
177,294,98
178,308,94
179,325,97
180,329,99
181,342,97
182,370,102
183,383,102
184,405,108
185,420,107
186,464,102
187,495,100
188,530,114
189,547,126
190,565,126
191,578,122
192,578,140
193,577,153
194,549,156
195,529,156
196,523,170
197,491,184
198,473,188
199,438,190
200,424,177
201,394,181
202,365,184
203,351,167
204,332,155
205,314,150
206,308,143
207,299,140
208,293,122
209,285,112
210,290,111
211,293,106
212,294,106
213,290,90
214,304,99
215,315,94
216,328,108
217,338,109
218,360,108
219,386,117
220,413,122
221,428,125
222,436,138
223,434,136
224,446,132
225,440,132
226,439,140
227,429,145
228,432,149
229,417,150
230,419,156
231,411,160
232,388,159
233,381,154
234,381,161
235,367,164
236,367,160
237,379,169
238,362,163
239,372,170
240,365,168
241,369,165
242,371,165
243,367,158
244,383,146
245,403,144
246,407,153
247,398,154
248,386,161
249,371,175
250,349,185
251,335,184
252,322,186
253,308,174
254,304,174
255,296,164
256,299,152
257,294,146
258,287,148
259,279,150
260,276,152
261,289,138
262,298,125
263,323,116
264,345,120
265,355,121
266,385,129
267,414,131
268,426,131
269,433,135
270,445,142
271,451,151
272,435,166
273,412,187
274,401,199
275,375,205
276,359,208
277,339,202
278,322,196
279,307,186
280,291,167
281,292,155
282,280,159
283,285,150
284,293,139
285,295,126
286,310,109
287,334,106
288,359,97
289,394,71
290,447,66
291,492,64
292,532,69
293,565,71
294,593,69
295,629,75
296,670,82
297,690,91
298,703,96
299,707,96
300,705,102
301,703,114
302,691,121
303,667,128
304,663,123
305,648,126
306,637,145
307,609,151
308,590,150
309,573,148
310,555,154
311,540,167
312,510,164
313,487,159
314,456,163
315,434,163
316,415,161
317,409,154
318,403,139
319,400,133
320,394,114
321,382,110
322,380,105
323,380,106
324,391,111
325,408,111
326,424,102
327,443,102
328,459,116
329,466,123
330,486,126
331,506,127
332,514,135
333,521,155
334,522,163
335,508,169
336,490,175
337,470,187
338,448,198
339,433,195
340,396,195
341,372,205
342,348,213
343,328,190
344,314,175
345,303,159
346,293,147
347,293,144
348,284,132
349,279,123
350,285,113
351,277,118
352,291,111
353,287,106
354,296,99
355,286,97
356,298,96
357,305,107
358,326,107
359,339,101
360,369,95
361,405,96
362,440,108
363,447,109
364,452,120
365,459,124
366,470,134
367,464,151
368,464,151
369,465,140
370,475,136
371,490,139
372,501,136
373,492,127
374,491,122
375,492,125
376,488,137
377,474,139
378,469,144
379,456,146
380,435,151
381,426,165
382,412,182
383,383,191
384,362,191
385,340,189
386,320,188
387,284,188
388,257,178
389,243,176
390,230,169
391,226,153
392,231,139
393,237,112
394,275,92
395,297,90
396,336,79
397,369,68
398,423,66
399,476,77
400,514,84
401,550,87
402,594,93
403,623,99
404,637,109
405,636,109
406,644,111
407,642,118
408,637,125
409,624,135
410,611,133
411,596,132
412,586,134
413,577,138
414,565,150
415,544,153
416,527,159
417,508,165
418,489,163
419,475,180
420,457,177
421,438,181
422,413,176
423,394,171
424,385,176
425,373,180
426,362,173
427,345,164
428,330,160
429,320,158
430,297,172
431,269,183
432,232,180
433,207,176
434,181,168
435,165,166
436,149,152
437,139,139
438,124,120
439,112,96
440,107,92
441,101,87
442,98,74
443,101,62
444,117,58
445,138,49
446,166,44
447,208,40
448,245,37
449,282,37
450,325,36
451,379,32
452,442,27
453,512,31
454,585,30
455,658,27
456,716,30
457,764,33
458,809,36
459,828,36
460,832,39
461,829,44
462,814,53
463,796,59
464,788,60
465,778,57
466,774,53
467,770,60
468,756,59
469,753,48
470,752,43
471,757,46
472,755,46
473,744,48
474,743,42
475,738,45
476,735,43
477,731,40
478,729,42
479,733,43
480,737,42
481,736,44
482,732,48
483,733,47
484,733,44
485,728,48
486,732,55
487,734,55
488,739,57
489,736,63
490,750,67
491,747,70
492,743,61
493,745,65
494,736,74
495,724,84
